"NUTS3","years_2014_15","years_2016_17","years_2018_19","GDPpercap_2020","GDPpercap_2018"
"DE24A",15.9312122591994,14.9476444048975,13.8549216376121,10.3857902373689,10.3990370887496
"DE21G",15.4874639180646,15.6643249836283,14.5062135656324,10.4862895925896,10.4512620800803
"DEA54",11.1594883687786,13.190976465894,15.9964187521095,10.3097190335722,10.2827455684751
"DE221",0,14.9900939514411,14.5282717728745,10.9562129584318,10.9852757735917
"DE21F",10.7019951487539,11.3951423293138,0,10.5630520960789,10.5114580356885
"DE734",0,15.5268056232007,16.5574320624377,10.2517824820293,10.3230199178557
"DEB3E",0,13.6814624966514,15.0697942129629,10.3928647954962,10.5272578593183
"DE71C",0,0,13.4100454498561,10.6003528124645,10.627236680393
"DEB3C",0,9.86720178155676,14.4461611596473,10.0069913455508,10.0129247472345
"DEA24",0,13.2764303394416,13.329944028584,10.7488191954698,10.8561102136577
"DE11C",0,13.1711916360863,14.0728076791949,10.5495169197681,10.5188353406417
"DEB14",0,14.8755518419062,15.3743218028886,10.2995418508901,10.3021965561473
"DE93B",0,13.3410725031707,14.7355702649867,10.3839673644497,10.3393201972607
"DEA53",12.5088719742855,13.7434079849349,14.6421696881472,10.406079371375,10.4629604731236
"DE11B",12.8084285871418,12.8122084491005,12.2060726455302,10.6056935775844,10.5861044841229
"DE235",15.1623951335245,16.5788750844843,15.8878264419221,10.5822315027853,10.5359288579787
"DE271",15.195031241705,16.2710610264266,16.0787363956371,10.7958338918335,10.8051112473669
"DE21K",13.2129517960502,13.8332298822371,14.7643007813028,10.4415586251923,10.4011975411547
"DE942",0,15.1259309967952,15.7695179667395,11.1165291111219,11.2004587756958
"DEC06",9.59671326705086,13.879593812984,12.3483966363877,10.3250884425537,10.337378134828
"DE737",0,10.4005726055562,13.4335780728454,10.1555683537449,10.1295069645958
"DE941",0,14.364680351216,14.4208655112958,10.1009850368668,10.0441621218189
"DE933",0,11.49353875117,11.49353875117,10.1289484168055,10.0960069343065
"DE143",13.7181512801919,13.3905567732722,14.2775865967375,10.4950172037171,10.4766962511334
"DE253",8.9226582995244,14.6901120457548,14.0647913338493,10.5564375433447,10.5390321029596
"DEB3J",0,0,13.1896583959099,10.5390321029596,10.4953215713956
"DEB31",0,8.51719519141424,13.448309739436,10.4952385712157,10.4350859211174
"DE71A",0,14.2170108516525,15.4585727499885,10.9408979694778,10.9122116027414
"DE111",15.6271552322336,16.5739053239771,17.1059845735261,11.3525102035633,11.4278140999959
"DE248",13.7015576778882,15.6259983147537,12.9322400371183,10.4174781624453,10.336048886306
"DEA57",12.6668647179412,15.4587036163406,16.1263553455703,10.5245746625597,10.5148822312238
"DE226",9.90348755253613,10.5966347330961,0,10.4015622273767,10.375021260614
"DEA28",0,13.1671128939029,14.5584297570248,10.2496625646187,10.2410663195838
"DE141",12.6660141017311,15.664223059824,15.8434008600241,10.6032378842296,10.6136393319119
"DE134",12.0735692957171,15.412694883387,15.6126211077639,10.6232523210003,10.629513261662
"DE266",6.75983514890551,13.3914613298783,14.886910538663,10.6876173808079,10.6257808288268
"DE11A",13.6331890011703,13.5793661944728,13.2873126844738,10.7710081200409,10.7300504940355
"DE275",0,10.6689553946757,0,10.2563954099056,10.2365253267087
"DE24C",15.1132772415766,15.9168365946372,15.7795731985358,10.4812519395525,10.5050127435488
"DE129",11.8786270459616,14.8442370204576,15.4565696188824,10.6534639260821,10.6159470441284
"DE272",0,8.14612951002541,14.9456215136918,10.5461306009223,10.5753089463813
"DE716",0,13.6908242179883,13.9933731006145,10.2743612158747,10.2701771816929
"DE279",0,15.3391392498018,15.3391392498018,10.5317761607476,10.5797937159
