"","Operation_Start_Date","Operation_End_Date","Total_Eligible_Expenditure_amount","months_between","years_between"
"38012",2016-10-23,2016-11-01,1934,0,1
"38013",2019-01-08,2019-09-30,24931.25,8,1
"38014",2015-12-01,2017-04-07,51937.5,16,2
"38015",2020-04-01,2022-07-30,193700,27,3
"38016",2015-09-22,2018-09-21,28800,35,3
"38017",2020-06-15,2023-03-31,10800,33,3
"38018",2017-04-01,2018-06-30,42000,14,2
"38019",2015-12-14,2021-06-30,1558692,66,6
"38020",2018-07-18,2021-06-17,7500000,34,3
"38021",2019-05-01,2022-10-31,7905379.64,41,4
"38022",2017-02-10,2018-09-30,3750.01,19,2
"38023",2017-05-01,2021-04-30,4429718,47,4
"38024",2017-01-09,2020-08-31,578912,43,4
"38025",2016-10-11,2020-04-10,156767.8,41,4
"38026",2020-02-20,2021-12-31,15000,22,2
"38027",2016-04-15,2018-04-14,2145672.3,23,2
"38028",2018-06-12,2018-06-14,2830,0,1
"38029",2014-03-11,2015-07-31,5000.01,16,2
"38030",2018-12-13,2019-12-31,17516.88,12,1
"38031",2020-01-28,2021-12-30,5250,23,2
"38032",2016-07-26,2017-10-25,2700,14,2
"38033",2018-11-08,2019-02-10,2452.94,3,1
"38034",2014-07-17,2015-12-31,3030803.05,17,2
"38035",2016-11-02,2016-10-31,5000.01,0,1
"38036",2019-08-15,2020-01-20,5000,5,1
"38037",2019-12-04,2021-03-04,280875.33,15,2
"38038",2017-01-28,2017-09-26,6000,7,1
"38039",2017-02-01,2017-08-31,520000,6,1
"38040",2019-08-16,2020-07-31,17913.52,11,1
"38041",2018-09-04,2021-08-31,1666617.24,35,3
"38042",2019-10-07,2023-03-31,4028603.5,41,4
"38043",2017-11-23,2018-07-31,6250.01,8,1
"38044",2016-09-12,2017-04-30,5000.01,7,1
"38045",2018-02-27,2018-11-30,6506.14,9,1
"38046",2018-11-14,2019-06-30,18741.84,7,1
"38047",2020-01-16,2020-01-19,1888,0,1
"38048",2016-08-01,2017-04-30,112951.35,8,1
"38049",2015-01-07,2016-05-31,9200,16,2
"38050",2020-06-17,2020-12-17,25000,6,1
"38051",2016-01-03,2016-09-30,14680.01,8,1
"38052",2015-12-03,2018-12-31,454237.15,36,3
"38053",2015-08-14,2019-04-30,23279.99,44,4
"38054",2019-06-01,2022-05-31,1425193.75,35,3
"38055",2019-11-06,2022-02-28,1411911.3,27,3
"38056",2019-01-02,2021-09-30,100443.76,32,3
"38057",2021-01-01,2022-06-30,321822.68,17,2
"38058",2016-03-15,2019-03-14,430822.5,35,3
"38059",2016-04-10,2017-08-24,32201.37,16,2
"38060",2020-10-15,2021-10-31,328452.5,12,1
"38061",2015-09-03,2017-09-15,5426392,24,2
"38062",2019-05-16,2021-10-31,375126.44,29,3
"38063",2017-10-18,2021-06-30,18433213.17,44,4
"38064",2019-06-01,2022-12-15,41330,42,4
"38065",2020-03-23,2020-09-30,6178.46,6,1
"38066",2016-06-15,2021-09-30,6478705.8,63,6
"38067",2016-11-01,2017-06-02,16596.92,7,1
"38068",2016-03-05,2017-08-31,6250.01,17,2
"38069",2019-12-15,2020-06-14,17175,5,1
"38070",2017-05-01,2021-04-30,297913.8,47,4
"38071",2016-01-04,2017-01-31,6250.01,12,1
"38072",2015-07-22,2016-02-28,6250.01,7,1
"38073",2018-08-03,2020-01-02,300536.75,16,2
"38074",2019-01-06,2022-01-31,121361.25,36,3
"38075",2016-07-12,2017-07-31,6250.01,12,1
"38076",2020-07-01,2022-10-31,157643.42,27,3
"38077",2020-01-07,2022-06-30,399950,29,3
"38078",2015-10-26,2016-02-16,13000,3,1
