DATAFLOW,LAST UPDATE,freq,ipc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE138,2010,1.771,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE138,2011,1.393,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE138,2012,1.404,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE139,2008,1.373,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE139,2009,0.952,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE139,2010,1.346,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE139,2011,1.121,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE139,2012,0.299,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE13A,2008,1.015,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE13A,2009,0.355,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE13A,2010,0.842,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE13A,2011,1.057,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE13A,2012,0.888,p
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE141,2008,1.671,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE141,2009,2.401,
ESTAT:PAT_EP_RTEC(1.0),29/04/16 23:00:00,A,HT,GDP_BEUR,DE141,2010,2.372,
